"","Round","Pick","Team","Name","Position","College","Score","Score.Multiplier","Combined.Rank","Score.Multiplier.Rank","Average.Rank"
"95","3","95","Cincinnati Bengals","Kyren Williams","RB","Notre Dame",424,381.6,57,80,68.5
"96","3","96","Denver Broncos","Isaiah Spiller","RB","Texas A&M",399,359.1,63,84,73.5
"97","3","97","Detroit Lions","Jack Sanborn","LB","Wisconsin",125,125,156,165,160.5
"98","3","98","New Orleans Saints","Ellis Brooks","LB","Penn State",116,116,163,166,164.5
"99","3","99","Cleveland Browns","Cameron Thomas","EDGE","San Diego State",422,506.4,58,55,56.5
"100","3","100","Baltimore Ravens","Lewis Cine","S","Georgia",404,484.8,61,58,59.5
"101","3","101","New Orleans Saints","Myjai Sanders","EDGE","Cincinnati",401,481.2,62,59,60.5
"102","3","102","Miami Dolphins","Jalen Pitre","S","Baylor",398,477.6,64,60,62
"103","3","103","Kansas City Chiefs","D'Marco Jackson","LB","Appalachian State",110,110,166,170,168
"104","3","104","Los Angeles Rams","Daniel Faalele","OT","Minnesota",390,507,67,54,60.5
"105","3","105","San Francisco 49ers","Jerome Ford","RB","Cincinnati",286,257.4,92,113,102.5
